Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40968616,11/18/2018 12:02:37 AM,11/18/2018 02:41:43 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11249,134 METROPOLITAN AVENUE,METROPOLITAN AVENUE,WYTHE AVENUE,BERRY STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2018 08:02:37 AM,The Police Department responded to the complaint and took action to fix the condition.,11/18/2018 12:36:29 AM,01 BROOKLYN,3023640016,BROOKLYN,994646,200229,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71625297970993,-73.9624981811338,"(40.71625297970993, -73.9624981811338)"
40970959,11/18/2018 12:02:43 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,174 ORCHARD STREET,ORCHARD STREET,STANTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,,Precinct,Open,11/18/2018 08:02:43 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,03 MANHATTAN,1004120002,MANHATTAN,987468,202207,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72168763674661,-73.98839066076046,"(40.72168763674661, -73.98839066076046)"
40968099,11/18/2018 12:03:32 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11217,191 5 AVENUE,5 AVENUE,BERKELEY PLACE,UNION STREET,,,ADDRESS,BROOKLYN,,Precinct,Assigned,11/18/2018 08:03:32 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 02:26:05 AM,06 BROOKLYN,3009530008,BROOKLYN,989755,185872,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.676850749305814,-73.98015337290654,"(40.676850749305814, -73.98015337290654)"
40969526,11/18/2018 12:03:43 AM,11/18/2018 01:39:15 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,24 WEST 117 STREET,WEST 117 STREET,5 AVENUE,LENOX AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2018 08:03:43 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 01:39:15 AM,10 MANHATTAN,1016007502,MANHATTAN,998952,231371,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80172366933268,-73.94689691237359,"(40.80172366933268, -73.94689691237359)"
40969870,11/18/2018 12:03:58 AM,11/18/2018 01:38:14 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,1309 5 AVENUE,5 AVENUE,FRAWLEY CIRCLE,EAST 111 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2018 08:03:58 AM,The Police Department responded to the complaint and took action to fix the condition.,11/18/2018 01:38:14 AM,11 MANHATTAN,1016160001,MANHATTAN,998398,229762,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.797308308526034,-73.94890132984646,"(40.797308308526034, -73.94890132984646)"
40964926,11/18/2018 12:04:01 AM,11/18/2018 12:55:56 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10304,150 ALTER AVENUE,ALTER AVENUE,BEAR STREET,NORTH RAILROAD AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,11/18/2018 08:04:01 AM,The Police Department issued a summons in response to the complaint.,11/18/2018 12:55:56 AM,02 STATEN ISLAND,5033180030,STATEN ISLAND,957750,154633,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.591068429726825,-74.09541509491595,"(40.591068429726825, -74.09541509491595)"
40969137,11/18/2018 12:04:06 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11421,90-01 78 STREET,78 STREET,90 AVENUE,90 ROAD,,,ADDRESS,WOODHAVEN,,Precinct,Assigned,11/18/2018 08:04:06 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:54:56 AM,09 QUEENS,4089580037,QUEENS,1022279,189852,MOBILE,Unspecified,QUEENS,,,,,,,,40.68769495643791,-73.86287548987002,"(40.68769495643791, -73.86287548987002)"
40968795,11/18/2018 12:04:30 AM,11/18/2018 12:37:34 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,21 WEST 54 STREET,WEST 54 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2018 08:04:30 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/18/2018 12:37:34 AM,05 MANHATTAN,1012700020,MANHATTAN,990811,216692,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76144350461064,-73.9763162401207,"(40.76144350461064, -73.9763162401207)"
40965008,11/18/2018 12:04:57 AM,11/18/2018 01:59:47 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,299 VANDERVOORT AVENUE,VANDERVOORT AVENUE,REWE STREET,MASPETH AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2018 08:04:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 01:59:47 AM,01 BROOKLYN,3029140016,BROOKLYN,1002525,200060,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71577634844434,-73.934076483014,"(40.71577634844434, -73.934076483014)"
40967600,11/18/2018 12:05:01 AM,11/18/2018 02:40:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,255 JEFFERSON STREET,JEFFERSON STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2018 08:05:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 01:18:49 AM,04 BROOKLYN,3031650038,BROOKLYN,1004352,195429,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70306139291804,-73.92749976416528,"(40.70306139291804, -73.92749976416528)"
40969390,11/18/2018 12:05:27 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,977 SACKET AVENUE,SACKET AVENUE,RADCLIFF AVENUE,COLDEN AVENUE,,,ADDRESS,BRONX,,Precinct,Open,11/18/2018 08:05:27 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,11 BRONX,2040600029,BRONX,1024698,246696,MOBILE,Unspecified,BRONX,,,,,,,,40.84370604730297,-73.85381103950051,"(40.84370604730297, -73.85381103950051)"
40968269,11/18/2018 12:05:43 AM,11/18/2018 12:52:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,36 KENILWORTH PLACE,KENILWORTH PLACE,FARRAGUT ROAD,GLENWOOD ROAD,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2018 08:05:43 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 12:52:52 AM,14 BROOKLYN,3052480022,BROOKLYN,997760,170646,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.63505012316166,-73.95132425213963,"(40.63505012316166, -73.95132425213963)"
40971626,11/18/2018 12:05:47 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,32-43 58 STREET,58 STREET,32 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,WOODSIDE,,Precinct,Open,11/18/2018 08:05:47 AM,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,01 QUEENS,4011600071,QUEENS,1011068,214312,PHONE,Unspecified,QUEENS,,,,,,,,40.75487277749004,-73.9032024780048,"(40.75487277749004, -73.9032024780048)"
40965082,11/18/2018 12:05:54 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,3323 DECATUR AVENUE,DECATUR AVENUE,EAST 209 STREET,EAST GUN HILL ROAD,,,ADDRESS,BRONX,,Precinct,Open,11/18/2018 08:05:54 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,07 BRONX,2033520078,BRONX,1019315,258828,PHONE,Unspecified,BRONX,,,,,,,,40.87702771826516,-73.87320301830721,"(40.87702771826516, -73.87320301830721)"
40968031,11/18/2018 12:05:55 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,56 3 AVENUE,3 AVENUE,EAST 10 STREET,EAST 11 STREET,,,ADDRESS,NEW YORK,,Precinct,Assigned,11/18/2018 08:05:55 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:28:20 AM,03 MANHATTAN,1005560024,MANHATTAN,987342,205610,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7310280888434,-73.98884365802225,"(40.7310280888434, -73.98884365802225)"
40968104,11/18/2018 12:06:04 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,325 CYPRESS AVENUE,CYPRESS AVENUE,EAST 141 STREET,ST MARYS STREET,,,ADDRESS,BRONX,,Precinct,Open,11/18/2018 08:06:04 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,01 BRONX,2025540001,BRONX,1008272,233649,PHONE,Unspecified,BRONX,,,,,,,,40.80795572650117,-73.91322527935299,"(40.80795572650117, -73.91322527935299)"
40969876,11/18/2018 12:06:05 AM,11/18/2018 01:08:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,510 OCEAN AVENUE,OCEAN AVENUE,ST PAULS COURT,CHURCH AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2018 08:06:05 AM,The Police Department responded to the complaint and took action to fix the condition.,11/18/2018 01:08:31 AM,14 BROOKLYN,3050800068,BROOKLYN,995047,176246,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6504246407355,-73.96109007041304,"(40.6504246407355, -73.96109007041304)"
40967324,11/18/2018 12:06:08 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,977 SACKETT AVENUE,SACKETT AVENUE,RADCLIFF AVENUE,COLDEN AVENUE,,,ADDRESS,BRONX,,Precinct,Open,11/18/2018 08:06:08 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,11 BRONX,2040600029,BRONX,1024698,246696,PHONE,Unspecified,BRONX,,,,,,,,40.84370604730297,-73.85381103950051,"(40.84370604730297, -73.85381103950051)"
40966436,11/18/2018 12:06:21 AM,11/18/2018 02:10:06 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10011,218 WEST 22 STREET,WEST 22 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/2018 08:06:21 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 02:10:06 AM,04 MANHATTAN,1007710049,MANHATTAN,985129,210233,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74371757677483,-73.99682784852641,"(40.74371757677483, -73.99682784852641)"
40968080,11/18/2018 12:07:07 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10028,162 EAST 85 STREET,EAST 85 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,11/18/2018 08:07:07 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:22:07 AM,08 MANHATTAN,1015130045,MANHATTAN,996589,222922,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.778537054390284,-73.95544750193012,"(40.778537054390284, -73.95544750193012)"
40970501,11/18/2018 12:07:10 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10016,411 3 AVENUE,3 AVENUE,EAST 28 STREET,EAST 29 STREET,,,ADDRESS,NEW YORK,,Precinct,Open,11/18/2018 08:07:10 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,06 MANHATTAN,1009090054,MANHATTAN,989652,209769,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74244240641559,-73.9805055353544,"(40.74244240641559, -73.9805055353544)"
40965067,11/18/2018 12:07:24 AM,11/18/2018 02:59:19 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11414,153-25 78 STREET,78 STREET,153 AVENUE,COZINE AVENUE,,,ADDRESS,HOWARD BEACH,,Precinct,Closed,11/18/2018 08:07:24 AM,The Police Department responded to the complaint and took action to fix the condition.,11/18/2018 12:53:54 AM,10 QUEENS,4114407501,QUEENS,1024190,181674,PHONE,Unspecified,QUEENS,,,,,,,,40.66523980476778,-73.85603330512632,"(40.66523980476778, -73.85603330512632)"
40966497,11/18/2018 12:07:25 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11370,30-30 79 STREET,79 STREET,30 AVENUE,31 AVENUE,,,ADDRESS,EAST ELMHURST,,Precinct,Assigned,11/18/2018 08:07:25 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 02:51:19 AM,03 QUEENS,4011270020,QUEENS,1014991,216199,ONLINE,Unspecified,QUEENS,,,,,,,,40.76003933779729,-73.88903409544706,"(40.76003933779729, -73.88903409544706)"
40966821,11/18/2018 12:07:50 AM,11/18/2018 02:38:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,94-11 86 AVENUE,86 AVENUE,94 STREET,96 STREET,,,ADDRESS,WOODHAVEN,,Precinct,Closed,11/18/2018 08:07:50 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/18/2018 12:57:59 AM,09 QUEENS,4088870041,QUEENS,1025577,192772,ONLINE,Unspecified,QUEENS,,,,,,,,40.69569488615446,-73.85096570980797,"(40.69569488615446, -73.85096570980797)"
40968418,11/18/2018 12:08:20 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10470,4619 MATILDA AVENUE,MATILDA AVENUE,EAST 240 STREET,EAST 241 STREET,,,ADDRESS,BRONX,,Precinct,Open,11/18/2018 08:08:20 AM,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,12 BRONX,2050790062,BRONX,1024893,268385,PHONE,Unspecified,BRONX,,,,,,,,40.90323470530758,-73.85297469269463,"(40.90323470530758, -73.85297469269463)"
40965035,11/18/2018 12:08:21 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,152-14 84 DRIVE,84 DRIVE,152 STREET,PARSONS BOULEVARD,,,ADDRESS,JAMAICA,,Precinct,Assigned,11/18/2018 08:08:21 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:37:31 AM,08 QUEENS,4097460024,QUEENS,1037589,198981,PHONE,Unspecified,QUEENS,,,,,,,,40.71267284394494,-73.80759872796801,"(40.71267284394494, -73.80759872796801)"
40968307,11/18/2018 12:08:25 AM,11/18/2018 01:25:59 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,975 EAST 181 STREET,EAST 181 STREET,VYSE AVENUE,BRYANT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,11/18/2018 08:08:25 AM,The Police Department responded to the complaint and took action to fix the condition.,11/18/2018 01:25:59 AM,06 BRONX,2031340035,BRONX,1017597,246988,PHONE,Unspecified,BRONX,,,,,,,,40.84453717246229,-73.87947430159765,"(40.84453717246229, -73.87947430159765)"
40970618,11/18/2018 12:09:09 AM,11/18/2018 02:15:13 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10306,1754 RICHMOND ROAD,RICHMOND ROAD,DONGAN HILLS AVENUE,SEAVER AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,11/18/2018 08:09:09 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/18/2018 02:15:13 AM,02 STATEN ISLAND,5035320500,STATEN ISLAND,955502,153315,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.58744377950003,-74.1035035609127,"(40.58744377950003, -74.1035035609127)"
40965728,11/18/2018 12:09:10 AM,11/18/2018 02:56:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11249,134 METROPOLITAN AVENUE,METROPOLITAN AVENUE,WYTHE AVENUE,BERRY STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/18/2018 08:09:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/2018 12:33:27 AM,01 BROOKLYN,3023640016,BROOKLYN,994646,200229,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71625297970993,-73.9624981811338,"(40.71625297970993, -73.9624981811338)"
40968784,11/18/2018 12:09:32 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,132 AVENUE D,AVENUE D,EAST 9 STREET,EAST 10 STREET,,,ADDRESS,NEW YORK,,Precinct,Open,11/18/2018 08:09:32 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,03 MANHATTAN,1003620010,MANHATTAN,991036,203185,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.72436999250969,-73.97551766694457,"(40.72436999250969, -73.97551766694457)"
40966481,11/18/2018 12:09:45 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10028,214 EAST 82 STREET,EAST 82 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,11/18/2018 08:09:45 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:22:08 AM,08 MANHATTAN,1015270041,MANHATTAN,996627,221995,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77599263073418,-73.95531200268154,"(40.77599263073418, -73.95531200268154)"
40969850,11/18/2018 12:10:07 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10456,1073 GRANT AVENUE,GRANT AVENUE,EAST 165 STREET,EAST 166 STREET,,,ADDRESS,BRONX,,Precinct,Open,11/18/2018 08:10:07 AM,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,04 BRONX,2024510025,BRONX,1007270,241853,PHONE,Unspecified,BRONX,,,,,,,,40.830476053709184,-73.91681666177941,"(40.830476053709184, -73.91681666177941)"
40966590,11/18/2018 12:10:10 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,47-52 44 STREET,44 STREET,47 AVENUE,48 AVENUE,,,ADDRESS,WOODSIDE,,Precinct,Assigned,11/18/2018 08:10:10 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:29:21 AM,02 QUEENS,4001730048,QUEENS,1006098,209036,ONLINE,Unspecified,QUEENS,,,,,,,,40.740405167096014,-73.92115844234719,"(40.740405167096014, -73.92115844234719)"
40971695,11/18/2018 12:10:16 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,168-07 84 AVENUE,84 AVENUE,168 STREET,168 PLACE,,,ADDRESS,JAMAICA,,Precinct,Assigned,11/18/2018 08:10:16 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:37:31 AM,08 QUEENS,4098710045,QUEENS,1040460,200153,PHONE,Unspecified,QUEENS,,,,,,,,40.71587192133916,-73.79723287755856,"(40.71587192133916, -73.79723287755856)"
40970554,11/18/2018 12:10:23 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,1180 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,11/18/2018 08:10:23 AM,Your complaint has been received by the Police Department and additional information will be available later.,11/18/2018 12:27:18 AM,09 BROOKLYN,3012820034,BROOKLYN,997694,182691,PHONE,Unspecified,BROOKLYN,,,,,,,,40.668111122093144,-73.95153803723703,"(40.668111122093144, -73.95153803723703)"
40971245,11/18/2018 12:10:31 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,9 EAST 16 STREET,EAST 16 STREET,5 AVENUE,UNION SQUARE WEST,,,ADDRESS,NEW YORK,,Precinct,Open,11/18/2018 08:10:31 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,05 MANHATTAN,1008440008,MANHATTAN,986397,207848,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73717112776508,-73.99225262790051,"(40.73717112776508, -73.99225262790051)"
